_rg_o_entidade,v_nculo,cargo,escolaridade,vagas,publica_o_di_rio_oficial_da_uni_o_dou,link_publicacao_dou,tipo_de_autoriza_o,data_provimento,area_atuacao_governamental,norma_jur_dica,data_publicacao_dou,ano_da_publica_o,portaria_concurso,data_publicacao_portaria_concurso,unnamed_12,observacao,ato_oficial,link_da_publica_o_no_d_o_u_,_rea_de_atua_o_governamental
Instituto Benjamin Constant - IBC,MEC,Técnico Administrativo (Nível E),Nível Superior,,,,1º Provimento,,Social,Port. 450,2012-09-19,2012.0,Port. 450,,,,,,
Instituto Benjamin Constant - IBC,MEC,"Professor da Carreira de Ensino Básico, Técnico e Tecnológico",Nível Superior,,,,1º Provimento,,Social,Port. 450,2012-09-19,2012.0,Port. 450,,,,,,
Instituto Nacional de Educação de Surdos - INES,MEC,"Professor da Carreira de Ensino Básico, Técnico e Tecnológico",Nível Superior,,,,1º Provimento,,Social,Port. 450,2012-09-19,2012.0,Port. 450,,,,,,
Instituto Nacional de Educação de Surdos - INES,MEC,Nutricionista,Nível Superior,,,,1º Provimento,,Social,Port. 450,2012-09-19,2012.0,Port. 450,,,,,,
Instituto Nacional de Educação de Surdos - INES,MEC,Tradutor e Intérprete de Linguagem de Sinais,Nível Superior,,,,1º Provimento,,Social,Port. 450,2012-09-19,2012.0,Port. 450,,,,,,
Instituto Nacional de Educação de Surdos - INES,MEC,"Professor da Carreira de Ensino Básico, Técnico e Tecnológico",Nível Superior,,,,1º Provimento,,Social,Port. 450,2012-09-19,2012.0,Port. 450,,,,,,
Instituto Nacional de Educação de Surdos - INES,MEC,Técnico Administrativo (Nível D),Nível Intermediário,,,,1º Provimento,,Social,Port. 450,2012-09-19,2012.0,Port. 450,,,,,,
Instituto Nacional de Educação de Surdos - INES,MEC,Técnico Administrativo (Nível C),Nível Intermediário,,,,1º Provimento,,Social,Port. 450,2012-09-19,2012.0,Port. 450,,,,,,
Instituto Nacional de Educação de Surdos - INES,MEC,Técnico Administrativo (Nível E),Nível Superior,,,,1º Provimento,,Social,Port. 450,2012-09-19,2012.0,Port. 450,,,,,,
Ministério da Saúde – MS,MS,Terapeuta Ocupacional,Nível Superior,,,,1º Provimento,,Social,Port. 292,2012-09-26,2012.0,Port. 292,,,,,,
Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis - IBAMA,MMA,Analista Administrativo,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 459,2012-09-26,2012.0,Port. 459,,,,,,
Instituto Nacional do Seguro Social - INSS,MPS,Analista do Seguro Social,Nível Superior,,,,Adicional de até 50%,,Social,Port. 458,2012-09-27,2012.0,Port. 108,,,,,,
Instituto Nacional do Seguro Social - INSS,MPS,Analista do Seguro Social,Nível Superior,,,,Adicional de até 50%,,Social,Port. 458,2012-09-27,2012.0,Port. 108,,,,,,
Controladoria-Geral da União - CGU,PR,Analista de Finanças e Controle,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 462,2012-10-01,2012.0,Port. 064,,,,,,
Controladoria-Geral da União - CGU,PR,Analista de Finanças e Controle,Nível Superior,,,,Adicional de até 50%,,Articulação Governamental,Port. 462,2012-10-01,2012.0,Port. 064,,,,,,
Agência Brasileira de Inteligência - ABIN,PR,Oficial Técnico de Inteligência,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 467,2012-10-03,2012.0,Port. 085,,,,,,
Agência Brasileira de Inteligência - ABIN,PR,Agente Técnico de Inteligência,Nível Intermediário,,,,1º Provimento,,Articulação Governamental,Port. 467,2012-10-03,2012.0,Port. 085,,,,,,
"Ministério do Planejamento, Orçamento e Gestão – MP",MP,Analista de Infraestrutura,Nível Superior,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 486,2012-10-10,2012.0,Port. 597,,,,,,
"Ministério do Planejamento, Orçamento e Gestão – MP",MP,Analista de Infraestrutura,Nível Superior,,,,Adicional de até 50%,,Desenvolvimento Econômico e Produtivo,Port. 486,2012-10-10,2012.0,Port. 597,,,,,,
"Ministério do Planejamento, Orçamento e Gestão – MP",MP,Analista em Tecnologia da Informação,Nível Superior,,,,Concurso Novo,,Desenvolvimento Econômico e Produtivo,Port. 513,2012-10-25,2012.0,Port. 513,,,,,,
Departamento Penitenciário Nacional - DEPEN,MJ,Especialista em Assistência Penitenciária,Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 519,2012-11-01,2012.0,Port. 519,,,,,,
Departamento Penitenciário Nacional - DEPEN,MJ,Técnico de Apoio à Assistência Penitenciária,Nível Intermediário,,,,Concurso Novo,,Articulação Governamental,Port. 519,2012-11-01,2012.0,Port. 519,,,,,,
Departamento Penitenciário Nacional - DEPEN,MJ,Agente Penitenciário Federal,Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 519,2012-11-01,2012.0,Port. 519,,,,,,
Ministério das Cidades – MCIDADES,MCIDADES,Analista Técnico-Administrativo,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 522,2012-11-05,2012.0,Port. 522,,,,,,
Ministério das Cidades – MCIDADES,MCIDADES,Economista,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 522,2012-11-05,2012.0,Port. 522,,,,,,
Ministério das Cidades – MCIDADES,MCIDADES,Estatístico,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 522,2012-11-05,2012.0,Port. 522,,,,,,
Ministério das Cidades – MCIDADES,MCIDADES,Contador,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 522,2012-11-05,2012.0,Port. 522,,,,,,
Ministério das Cidades – MCIDADES,MCIDADES,Arquivista,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 522,2012-11-05,2012.0,Port. 522,,,,,,
Ministério das Cidades – MCIDADES,MCIDADES,Técnico em Comunicação Social,Nível Intermediário,,,,Concurso Novo,,Infraestrutura,Port. 522,2012-11-05,2012.0,Port. 522,,,,,,
Ministério das Cidades – MCIDADES,MCIDADES,Agente Administrativo,Nível Intermediário,,,,Concurso Novo,,Infraestrutura,Port. 522,2012-11-05,2012.0,Port. 522,,,,,,
Ministério das Cidades – MCIDADES,MCIDADES,Técnico em Contabilidade,Nível Intermediário,,,,Concurso Novo,,Infraestrutura,Port. 522,2012-11-05,2012.0,Port. 522,,,,,,
Ministério da Fazenda – MF,MF,Analista de Finanças e Controle,Nível Superior,,,,Concurso Novo,,Desenvolvimento Econômico e Produtivo,Port. 552,2012-11-21,2012.0,Port. 552,,,,,,
Ministério da Fazenda – MF,MF,Analista de Finanças e Controle,Nível Superior,,,,Concurso Novo,,Desenvolvimento Econômico e Produtivo,Port. 552,2012-11-21,2012.0,Port. 552,,,,,,
Instituto Nacional do Seguro Social - INSS,MPS,Perito Médico Previdenciário,Nível Superior,,,,Adicional de até 50%,,Social,Port. 579,2012-11-30,2012.0,Port. 442,,,,,,
Instituto Nacional do Seguro Social - INSS,MPS,Técnico do Seguro Social,Nível Intermediário,,,,Adicional de até 50%,,Social,Port. 579,2012-11-30,2012.0,Port. 442,,,,,,
Agência Nacional de Transportes Terrestres - ANTT,MT,Especialista em Regulação de Serviços de Transportes Terrestres,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 581,2012-11-30,2012.0,Port. 581,,,,,,
Agência Nacional de Transportes Terrestres - ANTT,MT,Técnico em Regulação de Serviços de Transportes Terrestres,Nível Intermediário,,,,Concurso Novo,,Infraestrutura,Port. 581,2012-11-30,2012.0,Port. 581,,,,,,
Agência Nacional de Transportes Terrestres - ANTT,MT,Analista Administrativo,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 581,2012-11-30,2012.0,Port. 581,,,,,,
Agência Nacional de Transportes Terrestres - ANTT,MT,Técnico Administrativo,Nível Intermediário,,,,Concurso Novo,,Infraestrutura,Port. 581,2012-11-30,2012.0,Port. 581,,,,,,
Fundação Oswaldo Cruz - FIOCRUZ,MS,Pesquisador em Saúde Pública,Nível Superior,,,,1º Provimento,,Social,Port. 583,2012-11-30,2012.0,Port. 342,,,,,,
Fundação Oswaldo Cruz - FIOCRUZ,MS,Tecnologista em Saúde Pública,Nível Superior,,,,1º Provimento,,Social,Port. 583,2012-11-30,2012.0,Port. 064,,,,,,
Fundação Oswaldo Cruz - FIOCRUZ,MS,Tecnologista em Saúde Pública,Nível Superior,,,,1º Provimento,,Social,Port. 583,2012-11-30,2012.0,Port. 342,,,,,,
Agência Nacional de Vigilância Sanitária - ANVISA,MS,Especialista em Regulação e Vigilância Sanitária,Nível Superior,,,,Concurso Novo,,Social,Port. 584,2012-12-04,2012.0,Port. 584,,,,,,
Agência Nacional de Vigilância Sanitária - ANVISA,MS,Analista Administrativo,Nível Superior,,,,Concurso Novo,,Social,Port. 584,2012-12-04,2012.0,Port. 584,,,,,,
Agência Nacional de Vigilância Sanitária - ANVISA,MS,Técnico em Regulação e Vigilância Sanitária,Nível Intermediário,,,,Concurso Novo,,Social,Port. 584,2012-12-04,2012.0,Port. 584,,,,,,
Agência Nacional de Vigilância Sanitária - ANVISA,MS,Técnico Administrativo,Nível Intermediário,,,,Concurso Novo,,Social,Port. 584,2012-12-04,2012.0,Port. 584,,,,,,
Fundação Jorge Duprat Figueiredo de Segurança e Medicina do Trabalho - FUNDACENTRO,MTE,Assistente em Ciência e Tecnologia,Nível Intermediário,,,,Concurso Novo,,Social,Port. 589,2012-12-11,2012.0,Port. 589,,,,,,
Superintendência Nacional de Previdência Complementar - PREVIC,MPS,Especialista em Previdência Complementar,Nível Superior,,,,1º Provimento,,Social,Port. 590,2012-12-11,2012.0,Port. 372,,,,,,
Superintendência Nacional de Previdência Complementar - PREVIC,MPS,Analista Administrativo,Nível Superior,,,,1º Provimento,,Social,Port. 590,2012-12-11,2012.0,Port. 372,,,,,,
Superintendência Nacional de Previdência Complementar - PREVIC,MPS,Técnico Administrativo,Nível Intermediário,,,,1º Provimento,,Social,Port. 590,2012-12-11,2012.0,Port. 372,,,,,,
Departamento Penitenciário Nacional - DEPEN,MJ,Engenheiro,Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 591,2012-12-11,2012.0,Port. 591,,,,,,
Departamento Penitenciário Nacional - DEPEN,MJ,Analista Técnico-Administrativo,Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 591,2012-12-11,2012.0,Port. 591,,,,,,
Ministério da Justiça – MJ,MJ,Analista Técnico-Administrativo,Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 592,2012-12-11,2012.0,Port. 592,,,,,,
Ministério da Justiça – MJ,MJ,Administrador,Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 592,2012-12-11,2012.0,Port. 592,,,,,,
Ministério da Justiça – MJ,MJ,Contador,Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 592,2012-12-11,2012.0,Port. 592,,,,,,
Ministério da Justiça – MJ,MJ,Economista,Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 592,2012-12-11,2012.0,Port. 592,,,,,,
Instituto Evandro Chagas - IEC e do Centro Nacional de Primatas - CENP,MS,Analista de Gestão em Pesquisa e Investigação Biomédica,Nível Superior,,,,1º Provimento,,Social,Port. 593,2012-12-11,2012.0,Port. 371,,,,,,
Instituto Evandro Chagas - IEC e do Centro Nacional de Primatas - CENP,MS,Assistente Técnico de Gestão em Pesquisa e Investigação Biomédica,Nível Intermediário,,,,1º Provimento,,Social,Port. 593,2012-12-11,2012.0,Port. 371,,,,,,
Instituto Evandro Chagas - IEC e do Centro Nacional de Primatas - CENP,MS,Especialista em Pesquisa e Investigação Biomédica em Saúde Pública,Nível Superior,,,,1º Provimento,,Social,Port. 593,2012-12-11,2012.0,Port. 371,,,,,,
Instituto Evandro Chagas - IEC e do Centro Nacional de Primatas - CENP,MS,Pesquisador em Saúde Pública,Nível Superior,,,,1º Provimento,,Social,Port. 593,2012-12-11,2012.0,Port. 371,,,,,,
Instituto Evandro Chagas - IEC e do Centro Nacional de Primatas - CENP,MS,Técnico em Pesquisa e Investigação Biomédica,Nível Intermediário,,,,1º Provimento,,Social,Port. 593,2012-12-11,2012.0,Port. 371,,,,,,
Instituto Evandro Chagas - IEC e do Centro Nacional de Primatas - CENP,MS,Tecnologista em Pesquisa e Investigação Biomédica,Nível Superior,,,,1º Provimento,,Social,Port. 593,2012-12-11,2012.0,Port. 371,,,,,,
Agência Nacional de Saúde Suplementar - ANS,MS,Especialista em Regulação de Saúde Suplementar,Nível Superior,,,,Concurso Novo,,Social,Port. 610,2012-12-12,2012.0,Port. 610,,,,,,
Agência Nacional de Saúde Suplementar - ANS,MS,Analista Administrativo,Nível Superior,,,,Concurso Novo,,Social,Port. 610,2012-12-12,2012.0,Port. 610,,,,,,
Agência Nacional de Saúde Suplementar - ANS,MS,Técnico em Regulação,Nível Intermediário,,,,Concurso Novo,,Social,Port. 610,2012-12-12,2012.0,Port. 610,,,,,,
Agência Nacional de Saúde Suplementar - ANS,MS,Técnico Administrativo,Nível Intermediário,,,,Concurso Novo,,Social,Port. 610,2012-12-12,2012.0,Port. 610,,,,,,
Ministério da Saúde – MS,MS,Administrador,Nível Superior,,,,Concurso Novo,,Social,Port. 613,2012-12-17,2012.0,Port. 613,,,,,,
Ministério da Saúde – MS,MS,Analista Técnico-Administrativo,Nível Superior,,,,Concurso Novo,,Social,Port. 613,2012-12-17,2012.0,Port. 613,,,,,,
Ministério da Saúde – MS,MS,Bibliotecário,Nível Superior,,,,Concurso Novo,,Social,Port. 613,2012-12-17,2012.0,Port. 613,,,,,,
Ministério da Saúde – MS,MS,Contador,Nível Superior,,,,Concurso Novo,,Social,Port. 613,2012-12-17,2012.0,Port. 613,,,,,,
Ministério da Saúde – MS,MS,Economista,Nível Superior,,,,Concurso Novo,,Social,Port. 613,2012-12-17,2012.0,Port. 613,,,,,,
Ministério da Saúde – MS,MS,Engenheiro,Nível Superior,,,,Concurso Novo,,Social,Port. 613,2012-12-17,2012.0,Port. 613,,,,,,
Departamento de Polícia Federal - DPF,MJ,Agente de Polícia Federal,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 627,2012-12-27,2012.0,Port. 559,,,,,,
Departamento de Polícia Federal - DPF,MJ,Papiloscopista,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 627,2012-12-27,2012.0,Port. 559,,,,,,
Superintendência de Desenvolvimento da Amazônia - SUDAM,MI,Agente Administrativo,Nível Intermediário,,,,Concurso Novo,,Infraestrutura,Port. 632,2012-12-31,2012.0,Port. 632,,,,,,
Superintendência de Desenvolvimento da Amazônia - SUDAM,MI,Analista Técnico-Administrativo,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 632,2012-12-31,2012.0,Port. 632,,,,,,
Superintendência de Desenvolvimento da Amazônia - SUDAM,MI,Biólogo,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 632,2012-12-31,2012.0,Port. 632,,,,,,
Superintendência de Desenvolvimento da Amazônia - SUDAM,MI,Contador,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 632,2012-12-31,2012.0,Port. 632,,,,,,
Superintendência de Desenvolvimento da Amazônia - SUDAM,MI,Economista,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 632,2012-12-31,2012.0,Port. 632,,,,,,
Superintendência de Desenvolvimento da Amazônia - SUDAM,MI,Engenheiro,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 632,2012-12-31,2012.0,Port. 632,,,,,,
Superintendência de Desenvolvimento da Amazônia - SUDAM,MI,Engenheiro Agrônomo,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 632,2012-12-31,2012.0,Port. 632,,,,,,
"Superintendência de Desenvolvimento da Amazônia
- SUDAM",MI,Estatístico,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 632,2012-12-31,2012.0,Port. 632,,,,,,
"Superintendência de Desenvolvimento da Amazônia
- SUDAM",MI,Geógrafo,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 632,2012-12-31,2012.0,Port. 632,,,,,,
"Superintendência de Desenvolvimento da Amazônia
- SUDAM",MI,Químico,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 632,2012-12-31,2012.0,Port. 632,,,,,,
"Superintendência de Desenvolvimento da Amazônia
- SUDAM",MI,Zootecnista,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 632,2012-12-31,2012.0,Port. 632,,,,,,
Superintendência de Desenvolvimento do Centro-Oeste - SUDECO,MI,Agente Administrativo,Nível Intermediário,,,,1º Provimento,,Infraestrutura,Port. 632,2012-12-31,2012.0,Port. 632,,,,,,
Superintendência de Desenvolvimento do Centro-Oeste - SUDECO,MI,Analista Técnico-Administrativo,Nível Superior,,,,1º Provimento,,Infraestrutura,Port. 632,2012-12-31,2012.0,Port. 632,,,,,,
Superintendência de Desenvolvimento do Centro-Oeste - SUDECO,MI,Arquiteto,Nível Superior,,,,1º Provimento,,Infraestrutura,Port. 632,2012-12-31,2012.0,Port. 632,,,,,,
Superintendência de Desenvolvimento do Centro-Oeste - SUDECO,MI,Contador,Nível Superior,,,,1º Provimento,,Infraestrutura,Port. 632,2012-12-31,2012.0,Port. 632,,,,,,
Superintendência de Desenvolvimento do Centro-Oeste - SUDECO,MI,Economista,Nível Superior,,,,1º Provimento,,Infraestrutura,Port. 632,2012-12-31,2012.0,Port. 632,,,,,,
Superintendência de Desenvolvimento do Centro-Oeste - SUDECO,MI,Engenheiro,Nível Superior,,,,1º Provimento,,Infraestrutura,Port. 632,2012-12-31,2012.0,Port. 632,,,,,,
Superintendência de Desenvolvimento do Centro-Oeste - SUDECO,MI,Engenheiro Civil,Nível Superior,,,,1º Provimento,,Infraestrutura,Port. 632,2012-12-31,2012.0,Port. 632,,,,,,
Superintendência de Desenvolvimento do Centro-Oeste - SUDECO,MI,Estatístico,Nível Superior,,,,1º Provimento,,Infraestrutura,Port. 632,2012-12-31,2012.0,Port. 632,,,,,,
Superintendência de Desenvolvimento do Nordeste - SUDENE,MI,Agente Administrativo,Nível Intermediário,,,,Concurso Novo,,Infraestrutura,Port. 632,2012-12-31,2012.0,Port. 632,,,,,,
Superintendência de Desenvolvimento do Nordeste - SUDENE,MI,Analista Técnico-Administrativo,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 632,2012-12-31,2012.0,Port. 632,,,,,,
Superintendência de Desenvolvimento do Nordeste - SUDENE,MI,Arquiteto,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 632,2012-12-31,2012.0,Port. 632,,,,,,
Superintendência de Desenvolvimento do Nordeste - SUDENE,MI,Contador,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 632,2012-12-31,2012.0,Port. 632,,,,,,
Superintendência de Desenvolvimento do Nordeste - SUDENE,MI,Economista,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 632,2012-12-31,2012.0,Port. 632,,,,,,
Superintendência de Desenvolvimento do Nordeste - SUDENE,MI,Engenheiro,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 632,2012-12-31,2012.0,Port. 632,,,,,,
Superintendência de Desenvolvimento do Nordeste - SUDENE,MI,Engenheiro Agrônomo,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 632,2012-12-31,2012.0,Port. 632,,,,,,
Superintendência de Desenvolvimento do Nordeste - SUDENE,MI,Estatístico,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 632,2012-12-31,2012.0,Port. 632,,,,,,
Superintendência de Desenvolvimento do Nordeste - SUDENE,MI,Geógrafo,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 632,2012-12-31,2012.0,Port. 632,,,,,,
Superintendência de Desenvolvimento do Nordeste - SUDENE,MI,Geólogo,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 632,2012-12-31,2012.0,Port. 632,,,,,,
Superintendência de Desenvolvimento do Nordeste - SUDENE,MI,Químico,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 632,2012-12-31,2012.0,Port. 632,,,,,,
Comando do Exército - CEX,MD,"Professor da Carreira de Ensino Básico, Técnico e Tecnológico",Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 633,2012-12-31,2012.0,Port. 633,,,,,,
Comando do Exército - CEX,MD,Professor de Magistério Superior,Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 633,2012-12-31,2012.0,Port. 633,,,,,,
"Ministério do Planejamento, Orçamento e Gestão – MP",MP,Especialista em Políticas Públicas e Gestão Governamental,Nível Superior,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 005,2011-02-10,2011.0,Port. 026,,,,,,
Universidade Federal de Pernambuco - UFPE,MEC,Médico,Nível Superior,,,,1º Provimento,,Social,Port. 037,2011-03-28,2011.0,Port. 037,,,,,,
Universidade Federal de Pernambuco - UFPE,MEC,Enfermeiro,Nível Superior,,,,1º Provimento,,Social,Port. 037,2011-03-28,2011.0,Port. 037,,,,,,
Universidade Federal de Pernambuco - UFPE,MEC,Físico,Nível Superior,,,,1º Provimento,,Social,Port. 037,2011-03-28,2011.0,Port. 037,,,,,,
